oferta,precio,mts,recamaras,bathrooms,lat,lon,fecha_consulta,fuente,precio_m2
casa en  bahia ensenada,20319,,2,2,31.855536,-116.604533,2025-11-03 12:12:41.809031,icasas,
departamento en  calle de las azucenas 37105 lomas de valle verde ensenada baja california 22839 mex,11000,,1,1,31.881905,-116.606468,2025-11-03 12:12:41.809031,icasas,
casa en  calle de las azucenas 37105 lomas de valle verde ensenada baja california 22839 mex,12000,,1,1,31.881905,-116.606468,2025-11-03 12:12:41.809031,icasas,
casa en  prolongacion vista hermosa 276 sexto ayuntamiento ensenada baja california 22820 mex,16000,,3,2,31.88338,-116.639591,2025-11-03 12:12:41.809031,icasas,
casa en  avenida agustin de iturbide 206 buenaventura ensenada baja california 22888 mex,28000,,5,3,31.854526,-116.597846,2025-11-03 12:12:41.809031,icasas,
casa en  avenida l 344 el sauzal el sauzal de rodriguez ensenada baja california 22760 mex,20319,,2,2,31.89339,-116.68907,2025-11-03 12:12:41.809031,icasas,
casa en  murgia ensenada,50798,459.0,4,4,32.003827778,-116.672597222,2025-11-03 12:12:41.809031,icasas,110.67074074074074
casa en  costa bella ensenada,25000,180.0,4,3,31.819407594572,-116.59591879131,2025-11-03 12:12:41.809031,icasas,138.88888888888889
casa en  adolfo ruiz cortines ensenada,35000,,4,2,31.81145548,-116.60520378,2025-11-03 12:12:41.809031,icasas,
casa en  cibolas del mar ensenada,35000,230.0,2,3,31.9031,-116.729,2025-11-03 12:12:41.809031,icasas,152.17391304347825
casa en  lomas del sauzal ensenada,29500,213.0,3,3,31.8939,-116.694,2025-11-03 12:12:41.809031,icasas,138.49765258215962
casa en  playa hermosa ensenada,46000,345.0,5,3,31.82402704,-116.60514843,2025-11-03 12:12:41.809031,icasas,133.33333333333334
casa en  el alamo ensenada,20319,,2,2,31.388900278,-115.757641111,2025-11-03 12:12:41.809031,icasas,
casa en  lomas del sauzal ensenada,26000,175.0,3,2,31.9009,-116.691,2025-11-03 12:12:41.809031,icasas,148.57142857142858
casa en  chapultepec ensenada,16500,130.0,3,2,31.812480631952,-116.58971665428,2025-11-03 12:12:41.809031,icasas,126.92307692307692
casa en  cibolas del mar ensenada,55416,319.0,4,2,31.90683992615,-116.727703038409,2025-11-03 12:12:41.809031,icasas,173.71742946708463
casa en  ed ruiz cortinez ensenada,20000,150.0,3,2,31.904079202627,-116.574236316953,2025-11-03 12:12:41.809031,icasas,133.33333333333334
casa en  colinas del mar ensenada,18000,130.0,3,3,31.8893018,-116.6851939,2025-11-03 12:12:41.809031,icasas,138.46153846153845
casa en  murgia ensenada,7500,51.0,2,1,31.9166,-116.588,2025-11-03 12:12:41.809031,icasas,147.05882352941177
casa en  ensenada centro ensenada,30000,,3,2,31.873405425081,-116.625732947412,2025-11-03 12:12:41.809031,icasas,
departamento en  chapultepec ensenada,9500,60.0,2,2,31.815329,-116.5883546,2025-11-03 12:12:41.809031,icasas,158.33333333333334
casa en  la mision ensenada,18472,130.0,2,1,32.0683582,-116.6563926,2025-11-03 12:12:41.809031,icasas,142.09192307692308
departamento en  la mision ensenada,6000,,1,1,32.07601588,-116.62624858,2025-11-03 12:12:41.809031,icasas,
casa en  escritores ensenada,11700,59.0,3,2,31.796213359012,-116.584704893403,2025-11-03 12:12:41.809031,icasas,198.3050847457627
casa en  adolfo ruiz cortines ensenada,18500,,2,2,31.811455483625,-116.605203778536,2025-11-03 12:12:41.809031,icasas,
casa en  chapultepec ensenada,17500,95.0,3,2,31.779593350314,-116.596644045814,2025-11-03 12:12:41.809031,icasas,184.21052631578948
casa en  chapultepec ensenada,15500,,2,2,31.815329,-116.5883546,2025-11-03 12:12:41.809031,icasas,
departamento en  chapultepec ensenada,14500,77.0,2,2,31.815329,-116.5883546,2025-11-03 12:12:41.809031,icasas,188.3116883116883
casa en  chapultepec ensenada,20000,,3,2,31.86390261375,-116.638056087168,2025-11-03 12:12:41.809031,icasas,
casa en  la mision ensenada,3000,,1,1,32.0996444,-116.5596254,2025-11-03 12:12:41.809031,icasas,
departamento en  murgia ensenada,11000,53.0,1,1,31.9109,-116.599,2025-11-03 12:12:41.809031,icasas,207.54716981132074
departamento en  murgia ensenada,14000,70.0,2,2,31.9109,-116.599,2025-11-03 12:12:41.809031,icasas,200.0
casa en  la mision ensenada,1200,,1,1,32.0996444,-116.5596254,2025-11-03 12:12:41.809031,icasas,
casa en  la mision ensenada,1600,,1,1,32.0996444,-116.5596254,2025-11-03 12:12:41.809031,icasas,
casa en  la mision ensenada,34173,,3,2,32.09484525,-116.859568,2025-11-03 12:12:41.809031,icasas,
casa en  lomas y jardines de valle verde ensenada,11000,,3,2,31.88907072,-116.6014608,2025-11-03 12:12:41.809031,icasas,
casa en  boulevard primera 305305 el sauzal el sauzal de rodriguez ensenada baja california 22760 mex,26500,,3,2,31.892145,-116.694361,2025-11-03 12:12:41.809031,icasas,
casa en  lomas del sauzal ensenada,51721,,3,3,31.8938,-116.693,2025-11-03 12:12:41.809031,icasas,
departamento en  calle nahoas coronitas ensenada baja california 22860 mex,26000,78.0,2,2,31.869004,-116.65879,2025-11-03 12:12:41.809031,icasas,333.3333333333333
departamento en  valle verde ensenada,10000,64.0,2,1,31.886873,-116.6066911,2025-11-03 12:12:41.809031,icasas,156.25
