oferta,precio,mts,recamaras,bathrooms,lat,lon,fecha_consulta,fuente,precio_m2
departamento en  avenida santiago garin p valle dorado seccion rios ensenada baja california 22890 mex,11108,,2,1,31.837439,-116.600537,2025-11-03 12:12:41.809031,icasas,
departamento en  avenida pedro loyola 205 acapulco ensenada baja california 22890 mex,7820,,1,1,31.83654,-116.60602,2025-11-03 12:12:41.809031,icasas,
departamento en  ensenada centro ensenada,10000,,2,1,31.8731589,-116.6139957,2025-11-03 12:12:41.809031,icasas,
departamento en  carretera tijuanaensenada villa cortez ensenada baja california mexico,55416,,2,2,31.865719,-116.661857,2025-11-03 12:12:41.809031,icasas,
casa en  quintas papagayo ensenada,46180,308.0,3,3,31.8643904,-116.6479655,2025-11-03 12:12:41.809031,icasas,149.9346753246753
departamento en  privada eucaliptos las arboledas ensenada baja california 22818 mex,12000,,2,1,31.882548,-116.61842,2025-11-03 12:12:41.809031,icasas,
casa en  calle bahia de la paz 30 moderna oeste ensenada baja california 22860 mex,26000,,3,2,31.869162,-116.648261,2025-11-03 12:12:41.809031,icasas,
casa en  carretera el sauzalguadalupe ensenada baja california 22760 mex,28000,180.0,3,4,31.913553,-116.690677,2025-11-03 12:12:41.809031,icasas,155.55555555555554
casa en  calle tercera 647 el sauzal baja california mexico,29000,,3,2,31.8940291,-116.6905213,2025-11-03 12:12:41.809031,icasas,
casa en  calle colinas de tijuana 242262 colinas del sauzal el sauzal de rodriguez ensenada baja california 22760 mex,38000,,3,2,31.888175,-116.6793,2025-11-03 12:12:41.809031,icasas,
casa en  22770 fraccionamiento del valle baja california mex,22000,,2,1,31.831854,-116.230462,2025-11-03 12:12:41.809031,icasas,
casa en  calle mexicali 423 28 de agosto ensenada baja california 22830 mex,27708,,2,2,31.874783,-116.600071,2025-11-03 12:12:41.809031,icasas,
casa en  bahia magdalena 647 mw moderna oeste ensenada baja california mexico,35000,,3,2,31.8692139,-116.6500032,2025-11-03 12:12:41.809031,icasas,
casa en  avenida bahia magdalena 672 moderna oeste ensenada baja california 22860 mex,25000,,3,2,31.869468,-116.650862,2025-11-03 12:12:41.809031,icasas,
casa en  bahia vizcaino moderna ensenada baja california mexico,36000,,3,2,31.8711238,-116.6435709,2025-11-03 12:12:41.809031,icasas,
casa en  calle sebastian vizcaino 751 moderna oeste ensenada baja california 22860 mex,21000,,3,2,31.869973,-116.652085,2025-11-03 12:12:41.809031,icasas,
casa en  calle colinas de bahia sur 377 centro comercial del mar el sauzal de rodriguez ensenada baja california 22760 mex,25000,,3,2,31.889222,-116.680925,2025-11-03 12:12:41.809031,icasas,
casa en  calle 5 226 playas de chapultepec ensenada baja california 22785 mex,31000,40.0,2,1,31.782522,-116.605479,2025-11-03 12:12:41.809031,icasas,775.0
casa en  calle colinas de bahia sur 377 centro comercial del mar el sauzal de rodriguez ensenada baja california 22760 mex,22500,107.0,3,2,31.889222,-116.680925,2025-11-03 12:12:41.809031,icasas,210.2803738317757
casa en  puerto san carlos lomas del sauzal el sauzal baja california mexico,21000,300.0,3,2,31.9013772,-116.6963762,2025-11-03 12:12:41.809031,icasas,70.0
casa en  novena 266 san quintin baja california mexico,8000,80.0,1,1,30.5579738,-115.9341652,2025-11-03 12:12:41.809031,icasas,100.0
casa en  villa del campo ensenada baja california mexico,5000,,1,1,31.7707041,-116.5606171,2025-11-03 12:12:41.809031,icasas,
casa en  lomas del sauzal ensenada,15000,,1,1,31.8884,-116.68,2025-11-03 12:12:41.809031,icasas,
departamento en  valle dorado ensenada,15000,,2,2,31.8259787,-116.5981635,2025-11-03 12:12:41.809031,icasas,
departamento en  murgia ensenada,24014,,1,1,31.9900954,-116.6381889,2025-11-03 12:12:41.809031,icasas,
departamento en  canyon san carlos ensenada,10500,,2,1,31.76793509,-116.5591572,2025-11-03 12:12:41.809031,icasas,
departamento en  playas de chapultepec ensenada,11083,,1,1,31.781154024397,-116.599656368933,2025-11-03 12:12:41.809031,icasas,
departamento en  costa bella ensenada,10000,,1,1,31.82216805,-116.60103561,2025-11-03 12:12:41.809031,icasas,
casa en  ensenada baja california mex,36944,150.0,3,2,31.90955791,-116.73520271,2025-11-03 12:12:41.809031,icasas,246.2926666666667
casa en  punta morro el sauzal de rodriguez baja california mexico,29555,250.0,2,2,31.8664083,-116.668692,2025-11-03 12:12:41.809031,icasas,118.22048
casa en  calle barco 1313 san marino ensenada baja california 22870 mex,20000,90.0,1,1,31.864354121473646,-116.6561579306543,2025-11-03 12:12:41.809031,icasas,222.22222222222223
casa en  paseo del pedregal 48 pedregal playitas ensenada baja california mexico,24500,190.0,4,3,31.867931,-116.6632183,2025-11-03 12:12:41.809031,icasas,128.94736842105263
casa en  loma dorada ensenada baja california mexico,46180,,4,4,31.8242256,-116.6018998,2025-11-03 12:12:41.809031,icasas,
casa en  privada villa cortes 456 king coronita ensenada baja california 22873 mex,31402,175.0,2,2,31.86554943,-116.66382405,2025-11-03 12:12:41.809031,icasas,179.44182857142857
departamento en  prolongacion 20 de noviembre 124 lomas del sauzal el sauzal de rodriguez ensenada baja california 22760 mex,20000,,2,2,31.898561883750588,-116.69384108049543,2025-11-03 12:12:41.809031,icasas,
casa en  cibolas del mar ensenada,30000,,2,2,31.896313,-116.6996104,2025-11-03 12:12:41.809031,icasas,
casa en  playas de chapultepec ensenada,35000,,4,3,31.7858247,-116.6096395,2025-11-03 12:12:41.809031,icasas,
departamento en  pedregal playitas ensenada,26000,,2,2,31.8716343,-116.6627045,2025-11-03 12:12:41.809031,icasas,
casa en  gaia residencial colinas del golfo el sauzal baja california mexico,45000,,3,3,31.8891473,-116.681202,2025-11-03 12:12:41.809031,icasas,
departamento en  acapulco ensenada,20000,,2,1,31.8395089,-116.6097319,2025-11-03 12:12:41.809031,icasas,
departamento en  playa de ensenada ensenada,16900,,2,2,31.8538568,-116.6125879,2025-11-03 12:12:41.809031,icasas,
departamento en  playa de ensenada ensenada,12000,,1,1,31.8498971,-116.6122676,2025-11-03 12:12:41.809031,icasas,
casa en  murgia ensenada,15701,,1,1,31.8646208,-116.663073,2025-11-03 12:12:41.809031,icasas,
casa en  popular 2 ensenada,15000,,2,2,31.888859,-116.605369,2025-11-03 12:12:41.809031,icasas,
departamento en  nueva ensenada ensenada baja california mexico,18000,,3,2,31.8532018,-116.6037426,2025-11-03 12:12:41.809031,icasas,
departamento en  villas de san miguel baja california mexico,12930,,1,1,31.9059832,-116.7356484,2025-11-03 12:12:41.809031,icasas,
casa en  lago chaira 462 valle dorado 22890 ensenada b.c. mexico,36944,1.0,3,2,31.8298196,-116.5936674,2025-11-03 12:12:41.809031,icasas,36943.9
departamento en  acapulco ensenada,30000,,3,2,31.8395089,-116.6097319,2025-11-03 12:12:41.809031,icasas,
casa en  colinas del sauzal colinas del golfo colinas del sauzal ensenada baja california mexico,50000,,3,2,31.8892222,-116.6809248,2025-11-03 12:12:41.809031,icasas,
casa en  chapultepec ensenada,64652,,3,3,31.8679339,-116.6337374,2025-11-03 12:12:41.809031,icasas,
departamento en  territorio sur ensenada,20000,,2,2,31.8754588,-116.6369106,2025-11-03 12:12:41.809031,icasas,
departamento en  territorio sur ensenada,18000,,2,2,31.8754588,-116.6369106,2025-11-03 12:12:41.809031,icasas,
casa en  avenida mayorca ampliacion chapultepec ensenada baja california 22870 mex,64652,,3,3,31.866333,-116.635698,2025-11-03 12:12:41.809031,icasas,
departamento en  ampliacion chapultepec ensenada baja california mexico,19000,,1,1,31.8664392,-116.635749,2025-11-03 12:12:41.809031,icasas,
departamento en  cibolas del mar ensenada,18472,,1,1,31.896313,-116.6996104,2025-11-03 12:12:41.809031,icasas,
departamento en  territorio sur ensenada,16000,,2,2,31.8754588,-116.6369106,2025-11-03 12:12:41.809031,icasas,
departamento en  acapulco ensenada,11000,,1,1,31.8395089,-116.6097319,2025-11-03 12:12:41.809031,icasas,
departamento en  priv. las rosas 1235 priv. las rosas villa de las rosas el sauzal b.c. mexico,11000,,1,1,31.8704905,-116.6744116,2025-11-03 12:12:41.809031,icasas,
casa en  calle puerta del mar ensenada baja california 22896 mex,23000,,3,2,31.812778,-116.58935,2025-11-03 12:12:41.809031,icasas,
casa en  calle principal francisco zarco ensenada baja california 22750 mex,36944,100.0,2,2,32.095628,-116.572572,2025-11-03 12:12:41.809031,icasas,369.439
