id,edificio,habitaciones,banos,lat,lon,mascotas,tinaco,estacionamiento,activo,disponible,precio,arrendatario_id
59,Casa,3,2,31.812778,-116.58935,False,False,0,True,False,23000,49
60,Departamento,2,1,32.095628,-116.572572,False,False,0,True,True,36944,60
61,Casa,2,1,31.855536,-116.604533,False,False,1,True,True,20319,66
62,Casa,1,1,31.881905,-116.606468,True,False,0,True,True,11000,50
63,Casa,1,1,31.881905,-116.606468,False,True,1,True,True,12000,79
64,Casa,3,2,31.88338,-116.639591,True,False,1,True,True,16000,16
65,Casa,5,1,31.854526,-116.597846,False,False,1,True,True,28000,32
66,Casa,2,1,31.89339,-116.68907,True,False,0,True,False,20319,1
67,Casa,4,2,32.003827778,-116.672597222,True,True,0,True,True,50798,71
68,Casa,4,1,31.819407594572,-116.59591879131,True,False,0,True,True,25000,17
69,Casa,4,1,31.81145548,-116.60520378,True,False,1,True,True,35000,83
70,Casa,2,1,31.9031,-116.729,False,False,1,True,False,35000,47
71,Casa,3,2,31.8939,-116.694,False,False,1,True,True,29500,48
72,Casa,5,1,31.82402704,-116.60514843,True,True,1,True,False,46000,3
73,Casa,2,1,31.388900278,-115.757641111,True,False,0,True,False,20319,69
74,Departamento,3,2,31.9009,-116.691,False,True,1,True,True,26000,59
75,Departamento,3,1,31.812480631952,-116.58971665428,False,False,0,True,True,16500,63
76,Casa,4,1,31.90683992615,-116.727703038409,False,False,1,True,False,55416,57
77,Departamento,3,2,31.904079202627,-116.574236316953,True,False,1,True,True,20000,76
78,Departamento,3,2,31.8893018,-116.6851939,False,True,1,True,True,18000,65
79,Casa,2,1,31.9166,-116.588,True,True,0,True,False,7500,61
80,Departamento,3,2,31.873405425081,-116.625732947412,False,False,1,False,False,30000,14
81,Departamento,2,1,31.815329,-116.5883546,False,False,1,False,True,9500,66
82,Casa,2,1,32.0683582,-116.6563926,True,True,0,True,True,18472,38
83,Departamento,1,1,32.07601588,-116.62624858,False,False,1,False,True,6000,80
84,Casa,3,1,31.796213359012,-116.584704893403,True,False,1,True,True,11700,10
85,Casa,2,1,31.811455483625,-116.605203778536,False,False,0,True,True,18500,33
86,Casa,3,1,31.779593350314,-116.596644045814,True,False,1,True,True,17500,68
87,Departamento,2,1,31.815329,-116.5883546,True,False,0,True,True,15500,64
88,Departamento,2,1,31.815329,-116.5883546,True,True,1,True,True,14500,70
89,Departamento,3,2,31.86390261375,-116.638056087168,True,False,0,True,True,20000,81
90,Casa,1,1,32.0996444,-116.5596254,False,True,0,True,True,3000,27
91,Departamento,1,1,31.9109,-116.599,True,False,1,False,True,11000,36
92,Departamento,2,1,31.9109,-116.599,True,False,1,True,True,14000,77
93,Casa,1,1,32.0996444,-116.5596254,True,True,1,True,False,1200,21
94,Departamento,1,1,32.0996444,-116.5596254,True,True,0,True,True,1600,13
95,Departamento,3,1,32.09484525,-116.859568,False,False,0,True,True,34173,49
96,Departamento,3,1,31.88907072,-116.6014608,False,False,1,True,False,11000,34
97,Casa,3,1,31.892145,-116.694361,False,True,0,False,True,26500,23
98,Departamento,3,1,31.8938,-116.693,True,False,1,True,True,51721,53
99,Departamento,2,1,31.869004,-116.65879,True,True,1,False,True,26000,28
100,Casa,2,1,31.886873,-116.6066911,True,False,0,True,True,10000,62
