id,edificio,habitaciones,banos,lat,lon,mascotas,tinaco,estacionamiento,activo,disponible,precio,arrendatario_id
1,Departamento,2,1,31.837439,-116.600537,True,True,1,True,True,11108,55
2,Casa,1,1,31.83654,-116.60602,False,False,0,True,False,7820,81
3,Departamento,2,1,31.8731589,-116.6139957,False,False,0,True,True,10000,61
4,Departamento,2,1,31.865719,-116.661857,True,True,1,False,True,55416,45
5,Casa,3,2,31.8643904,-116.6479655,True,True,0,True,True,46180,5
6,Departamento,2,1,31.882548,-116.61842,False,True,1,True,False,12000,2
7,Casa,3,2,31.869162,-116.648261,True,True,1,True,True,26000,20
8,Casa,3,2,31.913553,-116.690677,True,False,1,True,True,28000,68
9,Departamento,3,2,31.8940291,-116.6905213,False,True,1,True,True,29000,67
10,Departamento,3,1,31.888175,-116.6793,False,False,1,True,True,38000,39
11,Casa,2,1,31.831854,-116.230462,False,False,0,False,True,22000,73
12,Departamento,2,1,31.874783,-116.600071,False,False,1,False,True,27708,31
13,Casa,3,1,31.8692139,-116.6500032,True,True,1,True,True,35000,85
14,Departamento,3,1,31.869468,-116.650862,False,True,0,True,True,25000,6
15,Casa,3,1,31.8711238,-116.6435709,True,False,1,True,True,36000,10
16,Departamento,3,1,31.869973,-116.652085,True,True,0,True,True,21000,63
17,Casa,3,2,31.889222,-116.680925,True,False,1,True,True,25000,18
18,Casa,2,1,31.782522,-116.605479,True,True,1,True,True,31000,11
19,Casa,3,2,31.889222,-116.680925,False,True,0,True,True,22500,74
20,Departamento,3,2,31.9013772,-116.6963762,False,True,1,True,True,21000,12
21,Casa,1,1,30.5579738,-115.9341652,False,False,0,True,True,8000,33
22,Departamento,1,1,31.7707041,-116.5606171,False,True,0,True,True,5000,9
23,Casa,1,1,31.8884,-116.68,False,True,0,True,False,15000,41
24,Departamento,2,1,31.8259787,-116.5981635,True,False,0,True,False,15000,52
25,Departamento,1,1,31.9900954,-116.6381889,True,True,1,True,True,24014,37
26,Departamento,2,1,31.76793509,-116.5591572,False,True,1,True,True,10500,14
27,Casa,1,1,31.781154024397,-116.599656368933,True,True,1,True,True,11083,7
28,Departamento,1,1,31.82216805,-116.60103561,True,True,1,True,True,10000,24
29,Casa,3,2,31.90955791,-116.73520271,True,True,0,True,True,36944,25
30,Departamento,2,1,31.8664083,-116.668692,False,True,0,False,True,29555,26
31,Departamento,1,1,31.86435412147365,-116.6561579306543,False,False,0,True,True,20000,30
32,Departamento,4,2,31.867931,-116.6632183,True,True,1,True,True,24500,43
33,Departamento,4,2,31.8242256,-116.6018998,True,False,0,True,True,46180,54
34,Casa,2,1,31.86554943,-116.66382405,True,False,0,True,True,31402,40
35,Departamento,2,1,31.898561883750588,-116.69384108049545,True,True,0,True,True,20000,39
36,Departamento,2,1,31.896313,-116.6996104,True,False,0,True,False,30000,36
37,Casa,4,1,31.7858247,-116.6096395,False,True,1,True,True,35000,84
38,Casa,2,1,31.8716343,-116.6627045,True,True,0,False,True,26000,15
39,Casa,3,2,31.8891473,-116.681202,True,False,0,True,False,45000,42
40,Departamento,2,1,31.8395089,-116.6097319,False,False,1,False,True,20000,44
41,Casa,2,1,31.8538568,-116.6125879,False,False,1,True,True,16900,51
42,Departamento,1,1,31.8498971,-116.6122676,True,True,0,True,True,12000,72
43,Departamento,1,1,31.8646208,-116.663073,False,False,1,True,True,15701,22
44,Casa,2,1,31.888859,-116.605369,False,True,0,True,True,15000,83
45,Casa,3,1,31.8532018,-116.6037426,True,False,1,True,True,18000,5
46,Departamento,1,1,31.9059832,-116.7356484,False,False,1,True,False,12930,46
47,Departamento,3,1,31.8298196,-116.5936674,True,True,1,True,True,36944,8
48,Casa,3,1,31.8395089,-116.6097319,False,True,1,True,True,30000,4
49,Casa,3,2,31.8892222,-116.6809248,False,True,1,True,True,50000,75
50,Casa,3,1,31.8679339,-116.6337374,True,True,1,True,True,64652,19
51,Departamento,2,1,31.8754588,-116.6369106,False,True,1,True,True,20000,66
52,Casa,2,1,31.8754588,-116.6369106,True,False,1,True,False,18000,58
53,Departamento,3,1,31.866333,-116.635698,True,True,0,True,True,64652,78
54,Departamento,1,1,31.8664392,-116.635749,True,True,0,False,True,19000,82
55,Casa,1,1,31.896313,-116.6996104,False,False,1,True,True,18472,35
56,Departamento,2,1,31.8754588,-116.6369106,True,True,0,False,True,16000,56
57,Casa,1,1,31.8395089,-116.6097319,True,False,1,False,True,11000,47
58,Departamento,1,1,31.8704905,-116.6744116,True,False,0,True,True,11000,29
