oferta,precio,mts,recamaras,bathrooms,lat,lon,fecha_consulta,fuente,precio_m2
departamento en  ensenada centro ensenada,10000,,2,1,31.8731589,-116.6139957,2025-11-07 12:33:43.788895,icasas,
casa en  calle 5 226 playas de chapultepec ensenada baja california 22785 mex,31000,40.0,2,1,31.782522,-116.605479,2025-11-07 12:33:43.788895,icasas,775.0
departamento en  avenida santiago garin p valle dorado seccion rios ensenada baja california 22890 mex,11108,,2,1,31.837439,-116.600537,2025-11-07 12:33:43.788895,icasas,
departamento en  avenida pedro loyola 205 acapulco ensenada baja california 22890 mex,7820,,1,1,31.83654,-116.60602,2025-11-07 12:33:43.788895,icasas,
departamento en  carretera tijuanaensenada villa cortez ensenada baja california mexico,55436,,2,2,31.865719,-116.661857,2025-11-07 12:33:43.788895,icasas,
casa en  quintas papagayo ensenada,46197,308.0,3,3,31.8643904,-116.6479655,2025-11-07 12:33:43.788895,icasas,149.98905844155843
departamento en  privada eucaliptos las arboledas ensenada baja california 22818 mex,12000,,2,1,31.882548,-116.61842,2025-11-07 12:33:43.788895,icasas,
casa en  calle bahia de la paz 30 moderna oeste ensenada baja california 22860 mex,26000,,3,2,31.869162,-116.648261,2025-11-07 12:33:43.788895,icasas,
casa en  carretera el sauzalguadalupe ensenada baja california 22760 mex,28000,180.0,3,4,31.913553,-116.690677,2025-11-07 12:33:43.788895,icasas,155.55555555555554
casa en  calle tercera 647 el sauzal baja california mexico,29000,,3,2,31.8940291,-116.6905213,2025-11-07 12:33:43.788895,icasas,
casa en  calle colinas de tijuana 242262 colinas del sauzal el sauzal de rodriguez ensenada baja california 22760 mex,38000,,3,2,31.888175,-116.6793,2025-11-07 12:33:43.788895,icasas,
casa en  22770 fraccionamiento del valle baja california mex,22000,,2,1,31.831854,-116.230462,2025-11-07 12:33:43.788895,icasas,
casa en  calle mexicali 423 28 de agosto ensenada baja california 22830 mex,27718,,2,2,31.874783,-116.600071,2025-11-07 12:33:43.788895,icasas,
casa en  bahia magdalena 647 mw moderna oeste ensenada baja california mexico,35000,,3,2,31.8692139,-116.6500032,2025-11-07 12:33:43.788895,icasas,
casa en  avenida bahia magdalena 672 moderna oeste ensenada baja california 22860 mex,25000,,3,2,31.869468,-116.650862,2025-11-07 12:33:43.788895,icasas,
casa en  bahia vizcaino moderna ensenada baja california mexico,36000,,3,2,31.8711238,-116.6435709,2025-11-07 12:33:43.788895,icasas,
casa en  calle sebastian vizcaino 751 moderna oeste ensenada baja california 22860 mex,21000,,3,2,31.869973,-116.652085,2025-11-07 12:33:43.788895,icasas,
casa en  calle colinas de bahia sur 377 centro comercial del mar el sauzal de rodriguez ensenada baja california 22760 mex,25000,,3,2,31.889222,-116.680925,2025-11-07 12:33:43.788895,icasas,
casa en  puerto san carlos lomas del sauzal el sauzal baja california mexico,21000,300.0,3,2,31.9013772,-116.6963762,2025-11-07 12:33:43.788895,icasas,70.0
casa en  novena 266 san quintin baja california mexico,8000,80.0,1,1,30.5579738,-115.9341652,2025-11-07 12:33:43.788895,icasas,100.0
casa en  villa del campo ensenada baja california mexico,5000,,1,1,31.7707041,-116.5606171,2025-11-07 12:33:43.788895,icasas,
casa en  lomas del sauzal ensenada,15000,,1,1,31.8884,-116.68,2025-11-07 12:33:43.788895,icasas,
departamento en  ensenada centro ensenada,50000,,3,3,31.861344413767,-116.623141708143,2025-11-07 12:33:43.788895,icasas,
departamento en  valle dorado ensenada,15000,,2,2,31.8259787,-116.5981635,2025-11-07 12:33:43.788895,icasas,
departamento en  canyon san carlos ensenada,10500,,2,1,31.76793509,-116.5591572,2025-11-07 12:33:43.788895,icasas,
casa en  colinas del mar ensenada,25000,100.0,2,1,31.88661254817,-116.678829192273,2025-11-07 12:33:43.788895,icasas,250.0
departamento en  playas de chapultepec ensenada,11087,,1,1,31.781154024397,-116.599656368933,2025-11-07 12:33:43.788895,icasas,
casa en  costa bella ensenada,15000,,3,3,31.822168047923,-116.601035611984,2025-11-07 12:33:43.788895,icasas,
departamento en  costa bella ensenada,10000,,1,1,31.82216805,-116.60103561,2025-11-07 12:33:43.788895,icasas,
casa en  ensenada baja california mex,36957,150.0,3,2,31.90955791,-116.73520271,2025-11-07 12:33:43.788895,icasas,246.38206666666665
