oferta,precio,mts,recamaras,bathrooms,lat,lon,fecha_consulta,fuente,precio_m2
casa en  punta morro el sauzal de rodriguez baja california mexico,29566,250.0,2,2,31.8664083,-116.668692,2025-11-07 12:33:43.788895,icasas,118.26336
casa en  calle barco 1313 san marino ensenada baja california 22870 mex,20000,90.0,1,1,31.864354121473646,-116.6561579306543,2025-11-07 12:33:43.788895,icasas,222.22222222222223
casa en  paseo del pedregal 48 pedregal playitas ensenada baja california mexico,24500,190.0,4,3,31.867931,-116.6632183,2025-11-07 12:33:43.788895,icasas,128.94736842105263
casa en  privada villa cortes 456 king coronita ensenada baja california 22873 mex,31414,175.0,2,2,31.86554943,-116.66382405,2025-11-07 12:33:43.788895,icasas,179.5069142857143
casa en  loma dorada ensenada baja california mexico,46197,,4,4,31.8242256,-116.6018998,2025-11-07 12:33:43.788895,icasas,
departamento en  prolongacion 20 de noviembre 124 lomas del sauzal el sauzal de rodriguez ensenada baja california 22760 mex,20000,,2,2,31.898561883750588,-116.69384108049543,2025-11-07 12:33:43.788895,icasas,
casa en  cibolas del mar ensenada,30000,,2,2,31.896313,-116.6996104,2025-11-07 12:33:43.788895,icasas,
casa en  playas de chapultepec ensenada,35000,,4,3,31.7858247,-116.6096395,2025-11-07 12:33:43.788895,icasas,
departamento en  pedregal playitas ensenada,26000,,2,2,31.8716343,-116.6627045,2025-11-07 12:33:43.788895,icasas,
casa en  gaia residencial colinas del golfo el sauzal baja california mexico,45000,,3,3,31.8891473,-116.681202,2025-11-07 12:33:43.788895,icasas,
departamento en  acapulco ensenada,20000,,2,1,31.8395089,-116.6097319,2025-11-07 12:33:43.788895,icasas,
departamento en  playa de ensenada ensenada,16900,,2,2,31.8538568,-116.6125879,2025-11-07 12:33:43.788895,icasas,
departamento en  playa de ensenada ensenada,12000,,1,1,31.8498971,-116.6122676,2025-11-07 12:33:43.788895,icasas,
casa en  murgia ensenada,15707,,1,1,31.8646208,-116.663073,2025-11-07 12:33:43.788895,icasas,
casa en  popular 2 ensenada,15000,,2,2,31.888859,-116.605369,2025-11-07 12:33:43.788895,icasas,
departamento en  nueva ensenada ensenada baja california mexico,18000,,3,2,31.8532018,-116.6037426,2025-11-07 12:33:43.788895,icasas,
departamento en  villas de san miguel baja california mexico,12935,,1,1,31.9059832,-116.7356484,2025-11-07 12:33:43.788895,icasas,
casa en  lago chaira 462 valle dorado 22890 ensenada b.c. mexico,36957,1.0,3,2,31.8298196,-116.5936674,2025-11-07 12:33:43.788895,icasas,36957.31
departamento en  acapulco ensenada,30000,,3,2,31.8395089,-116.6097319,2025-11-07 12:33:43.788895,icasas,
casa en  colinas del sauzal colinas del golfo colinas del sauzal ensenada baja california mexico,50000,,3,2,31.8892222,-116.6809248,2025-11-07 12:33:43.788895,icasas,
casa en  chapultepec ensenada,64675,,3,3,31.8679339,-116.6337374,2025-11-07 12:33:43.788895,icasas,
departamento en  territorio sur ensenada,20000,,2,2,31.8754588,-116.6369106,2025-11-07 12:33:43.788895,icasas,
departamento en  territorio sur ensenada,18000,,2,2,31.8754588,-116.6369106,2025-11-07 12:33:43.788895,icasas,
casa en  avenida mayorca ampliacion chapultepec ensenada baja california 22870 mex,64675,,3,3,31.866333,-116.635698,2025-11-07 12:33:43.788895,icasas,
departamento en  ampliacion chapultepec ensenada baja california mexico,19000,,1,1,31.8664392,-116.635749,2025-11-07 12:33:43.788895,icasas,
departamento en  cibolas del mar ensenada,18479,,1,1,31.896313,-116.6996104,2025-11-07 12:33:43.788895,icasas,
departamento en  territorio sur ensenada,16000,,2,2,31.8754588,-116.6369106,2025-11-07 12:33:43.788895,icasas,
departamento en  acapulco ensenada,11000,,1,1,31.8395089,-116.6097319,2025-11-07 12:33:43.788895,icasas,
departamento en  priv. las rosas 1235 priv. las rosas villa de las rosas el sauzal b.c. mexico,11000,,1,1,31.8704905,-116.6744116,2025-11-07 12:33:43.788895,icasas,
casa en  calle puerta del mar ensenada baja california 22896 mex,23000,,3,2,31.812778,-116.58935,2025-11-07 12:33:43.788895,icasas,
casa en  calle principal francisco zarco ensenada baja california 22750 mex,36957,100.0,2,2,32.095628,-116.572572,2025-11-07 12:33:43.788895,icasas,369.57309999999995
casa en  bahia ensenada,20327,,2,2,31.855536,-116.604533,2025-11-07 12:33:43.788895,icasas,
departamento en  calle de las azucenas 37105 lomas de valle verde ensenada baja california 22839 mex,11000,,1,1,31.881905,-116.606468,2025-11-07 12:33:43.788895,icasas,
casa en  calle de las azucenas 37105 lomas de valle verde ensenada baja california 22839 mex,12000,,1,1,31.881905,-116.606468,2025-11-07 12:33:43.788895,icasas,
casa en  calle manuel m. de leon 156 empleados ensenada baja california 22820 mex,35000,,3,2,31.882792,-116.625216,2025-11-07 12:33:43.788895,icasas,
casa en  casas en ensenada zona centro ensenada baja california 22800 mex,25000,,3,2,31.862966,-116.620627,2025-11-07 12:33:43.788895,icasas,
casa en  prolongacion vista hermosa 276 sexto ayuntamiento ensenada baja california 22820 mex,16000,,3,2,31.88338,-116.639591,2025-11-07 12:33:43.788895,icasas,
casa en  avenida agustin de iturbide 206 buenaventura ensenada baja california 22888 mex,28000,,5,3,31.854526,-116.597846,2025-11-07 12:33:43.788895,icasas,
casa en  avenida l 344 el sauzal el sauzal de rodriguez ensenada baja california 22760 mex,20327,,2,2,31.89339,-116.68907,2025-11-07 12:33:43.788895,icasas,
casa en  murgia ensenada,50816,459.0,4,4,32.003827778,-116.672597222,2025-11-07 12:33:43.788895,icasas,110.71089324618737
casa en  costa bella ensenada,20000,180.0,4,3,31.81940759,-116.59591879,2025-11-07 12:33:43.788895,icasas,111.11111111111111
casa en  adolfo ruiz cortines ensenada,32000,,4,2,31.81145548,-116.60520378,2025-11-07 12:33:43.788895,icasas,
casa en  cibolas del mar ensenada,35000,230.0,2,3,31.9031,-116.729,2025-11-07 12:33:43.788895,icasas,152.17391304347825
casa en  lomas del sauzal ensenada,26000,213.0,3,3,31.8939,-116.694,2025-11-07 12:33:43.788895,icasas,122.06572769953051
casa en  playa hermosa ensenada,46000,345.0,5,3,31.82402704,-116.60514843,2025-11-07 12:33:43.788895,icasas,133.33333333333334
casa en  el alamo ensenada,20327,,2,2,31.388900278,-115.757641111,2025-11-07 12:33:43.788895,icasas,
casa en  lomas del sauzal ensenada,26000,175.0,3,2,31.9009,-116.691,2025-11-07 12:33:43.788895,icasas,148.57142857142858
casa en  chapultepec ensenada,16500,130.0,3,2,31.812480631952,-116.58971665428,2025-11-07 12:33:43.788895,icasas,126.92307692307692
casa en  cibolas del mar ensenada,55436,319.0,4,2,31.90683992615,-116.727703038409,2025-11-07 12:33:43.788895,icasas,173.78043887147336
casa en  ed ruiz cortinez ensenada,20000,150.0,3,2,31.904079202627,-116.574236316953,2025-11-07 12:33:43.788895,icasas,133.33333333333334
casa en  colinas del mar ensenada,18000,130.0,3,3,31.8893018,-116.6851939,2025-11-07 12:33:43.788895,icasas,138.46153846153845
departamento en  lomas y jardines de valle verde ensenada,11000,91.0,2,1,31.88380034,-116.60139049,2025-11-07 12:33:43.788895,icasas,120.87912087912088
departamento en  bahia ensenada,12000,50.0,2,1,31.8622,-116.601,2025-11-07 12:33:43.788895,icasas,240.0
casa en  murgia ensenada,7500,51.0,2,1,31.9166,-116.588,2025-11-07 12:33:43.788895,icasas,147.05882352941177
casa en  ensenada centro ensenada,30000,,3,2,31.873405425081,-116.625732947412,2025-11-07 12:33:43.788895,icasas,
departamento en  chapultepec ensenada,9500,60.0,2,2,31.815329,-116.5883546,2025-11-07 12:33:43.788895,icasas,158.33333333333334
casa en  la mision ensenada,18479,130.0,2,1,32.0683582,-116.6563926,2025-11-07 12:33:43.788895,icasas,142.14346153846154
departamento en  la mision ensenada,6000,,1,1,32.07601588,-116.62624858,2025-11-07 12:33:43.788895,icasas,
casa en  escritores ensenada,10700,59.0,3,2,31.79621336,-116.58470489,2025-11-07 12:33:43.788895,icasas,181.35593220338984
casa en  adolfo ruiz cortines ensenada,18500,,2,2,31.811455483625,-116.605203778536,2025-11-07 12:33:43.788895,icasas,
casa en  chapultepec ensenada,15500,,2,2,31.815329,-116.5883546,2025-11-07 12:33:43.788895,icasas,
departamento en  chapultepec ensenada,14500,77.0,2,2,31.815329,-116.5883546,2025-11-07 12:33:43.788895,icasas,188.3116883116883
departamento en  valle dorado ensenada,12500,120.0,1,1,31.846968439853,-116.592912555885,2025-11-07 12:33:43.788895,icasas,104.16666666666667
casa en  chapultepec ensenada,20000,,3,2,31.86390261375,-116.638056087168,2025-11-07 12:33:43.788895,icasas,
casa en  la mision ensenada,3000,,1,1,32.0996444,-116.5596254,2025-11-07 12:33:43.788895,icasas,
departamento en  murgia ensenada,11000,53.0,1,1,31.9109,-116.599,2025-11-07 12:33:43.788895,icasas,207.54716981132074
departamento en  murgia ensenada,14000,70.0,2,2,31.9109,-116.599,2025-11-07 12:33:43.788895,icasas,200.0
casa en  la mision ensenada,1200,,1,1,32.0996444,-116.5596254,2025-11-07 12:33:43.788895,icasas,
casa en  la mision ensenada,1600,,1,1,32.0996444,-116.5596254,2025-11-07 12:33:43.788895,icasas,
casa en  la mision ensenada,34186,,3,2,32.09484525,-116.859568,2025-11-07 12:33:43.788895,icasas,
casa en  boulevard primera 305305 el sauzal el sauzal de rodriguez ensenada baja california 22760 mex,26500,,3,2,31.892145,-116.694361,2025-11-07 12:33:43.788895,icasas,
casa en  lomas del sauzal ensenada,51740,,3,3,31.8938,-116.693,2025-11-07 12:33:43.788895,icasas,
casa en  lomas y jardines de valle verde ensenada,11000,,3,2,31.88907072,-116.6014608,2025-11-07 12:33:43.788895,icasas,
departamento en  calle nahoas coronitas ensenada baja california 22860 mex,26000,78.0,2,2,31.869004,-116.65879,2025-11-07 12:33:43.788895,icasas,333.3333333333333
departamento en  valle verde ensenada,10000,64.0,2,1,31.886873,-116.6066911,2025-11-07 12:33:43.788895,icasas,156.25
departamento en  murgia ensenada,24022,,1,1,31.9900954,-116.6381889,2025-11-07 12:33:43.788895,icasas,
