id,edificio,habitaciones,banos,lat,lon,mascotas,tinaco,estacionamiento,activo,disponible,precio,arrendatario_id
1,Departamento,2,1,31.8731589,-116.6139957,False,False,1,True,False,10000,24
2,Departamento,2,1,31.782522,-116.605479,False,False,1,True,False,31000,10
3,Casa,2,1,31.837439,-116.600537,False,False,1,True,False,11108,83
4,Departamento,1,1,31.83654,-116.60602,True,True,1,True,True,7820,26
5,Casa,2,1,31.865719,-116.661857,True,False,0,True,False,55436,21
6,Departamento,3,1,31.8643904,-116.6479655,False,True,0,True,True,46197,3
7,Casa,2,1,31.882548,-116.61842,False,False,0,True,True,12000,64
8,Departamento,3,2,31.869162,-116.648261,False,False,1,True,True,26000,22
9,Departamento,3,2,31.913553,-116.690677,True,False,1,True,True,28000,53
10,Departamento,3,1,31.8940291,-116.6905213,False,False,1,True,False,29000,79
11,Departamento,3,2,31.888175,-116.6793,False,False,0,True,False,38000,74
12,Departamento,2,1,31.831854,-116.230462,True,True,0,True,True,22000,56
13,Departamento,2,1,31.874783,-116.600071,False,True,0,True,True,27718,15
14,Casa,3,1,31.8692139,-116.6500032,False,True,1,True,False,35000,50
15,Casa,3,1,31.869468,-116.650862,False,True,0,True,True,25000,29
16,Casa,3,2,31.8711238,-116.6435709,True,True,0,True,False,36000,27
17,Departamento,3,2,31.869973,-116.652085,True,True,0,True,True,21000,11
18,Casa,3,2,31.889222,-116.680925,False,False,1,True,True,25000,77
19,Casa,3,1,31.9013772,-116.6963762,False,True,0,False,True,21000,68
20,Departamento,1,1,30.5579738,-115.9341652,True,False,1,True,True,8000,38
21,Casa,1,1,31.7707041,-116.5606171,True,True,1,True,True,5000,60
22,Casa,1,1,31.8884,-116.68,False,True,0,True,True,15000,54
23,Departamento,3,2,31.861344413767,-116.623141708143,False,True,0,True,True,50000,79
24,Departamento,2,1,31.8259787,-116.5981635,False,True,0,False,False,15000,9
25,Casa,2,1,31.76793509,-116.5591572,False,True,0,True,True,10500,13
26,Casa,2,1,31.88661254817,-116.678829192273,True,False,0,True,True,25000,69
27,Departamento,1,1,31.781154024397,-116.599656368933,False,True,0,True,True,11087,45
28,Departamento,3,1,31.822168047923,-116.601035611984,True,False,1,True,True,15000,31
29,Casa,1,1,31.82216805,-116.60103561,True,False,1,True,True,10000,67
30,Departamento,3,2,31.90955791,-116.73520271,False,False,1,True,True,36957,25
31,Casa,2,1,31.8664083,-116.668692,False,True,0,True,True,29566,75
32,Casa,1,1,31.86435412147365,-116.6561579306543,True,True,0,True,True,20000,80
33,Departamento,4,1,31.867931,-116.6632183,True,True,1,True,True,24500,5
34,Casa,2,1,31.86554943,-116.66382405,True,True,0,True,True,31414,12
35,Casa,4,1,31.8242256,-116.6018998,False,False,0,True,True,46197,71
36,Departamento,2,1,31.898561883750588,-116.69384108049545,False,False,0,True,True,20000,71
37,Casa,2,1,31.896313,-116.6996104,False,False,1,True,False,30000,47
38,Casa,4,1,31.7858247,-116.6096395,True,False,0,True,True,35000,51
39,Departamento,2,1,31.8716343,-116.6627045,False,False,0,True,True,26000,53
40,Casa,3,1,31.8891473,-116.681202,True,True,0,True,True,45000,31
41,Casa,2,1,31.8395089,-116.6097319,False,True,1,True,True,20000,29
42,Casa,2,1,31.8538568,-116.6125879,False,False,1,True,True,16900,3
43,Departamento,1,1,31.8498971,-116.6122676,True,True,0,True,True,12000,55
44,Departamento,1,1,31.8646208,-116.663073,False,True,1,True,True,15707,80
45,Casa,2,1,31.888859,-116.605369,True,False,0,True,True,15000,32
46,Departamento,3,2,31.8532018,-116.6037426,False,True,1,True,True,18000,40
47,Departamento,1,1,31.9059832,-116.7356484,False,False,1,False,True,12935,82
48,Casa,3,2,31.8298196,-116.5936674,False,True,1,True,True,36957,58
49,Casa,3,2,31.8395089,-116.6097319,False,True,0,True,True,30000,36
50,Casa,3,2,31.8892222,-116.6809248,True,True,0,True,True,50000,72
51,Casa,3,2,31.8679339,-116.6337374,True,True,0,True,True,64675,23
52,Casa,2,1,31.8754588,-116.6369106,True,False,1,True,True,20000,19
53,Departamento,2,1,31.8754588,-116.6369106,True,True,0,False,True,18000,7
54,Departamento,3,1,31.866333,-116.635698,False,False,0,True,True,64675,41
55,Departamento,1,1,31.8664392,-116.635749,False,False,1,True,True,19000,81
56,Casa,1,1,31.896313,-116.6996104,True,True,0,False,True,18479,16
57,Departamento,2,1,31.8754588,-116.6369106,False,True,0,True,True,16000,42
58,Casa,1,1,31.8395089,-116.6097319,True,False,1,True,True,11000,43
59,Departamento,1,1,31.8704905,-116.6744116,False,False,0,True,False,11000,33
60,Departamento,3,2,31.812778,-116.58935,False,False,0,True,True,23000,55
61,Casa,2,1,32.095628,-116.572572,False,False,1,True,True,36957,63
62,Departamento,2,1,31.855536,-116.604533,False,True,0,True,True,20327,77
63,Departamento,1,1,31.881905,-116.606468,True,False,0,True,True,11000,45
64,Departamento,1,1,31.881905,-116.606468,False,True,1,True,True,12000,4
65,Departamento,3,1,31.882792,-116.625216,True,False,1,True,True,35000,28
66,Casa,3,2,31.862966,-116.620627,False,False,0,True,True,25000,82
67,Departamento,3,2,31.88338,-116.639591,True,True,0,True,True,16000,78
68,Casa,5,2,31.854526,-116.597846,True,True,0,False,True,28000,47
69,Departamento,2,1,31.89339,-116.68907,True,False,1,True,True,20327,8
70,Departamento,4,2,32.003827778,-116.672597222,True,True,1,True,True,50816,70
71,Casa,4,2,31.81940759,-116.59591879,False,True,1,True,True,20000,1
72,Casa,4,1,31.81145548,-116.60520378,False,True,1,False,True,32000,30
73,Departamento,2,1,31.9031,-116.729,False,True,1,True,False,35000,2
74,Departamento,3,2,31.8939,-116.694,True,True,1,True,True,26000,21
75,Departamento,5,1,31.82402704,-116.60514843,True,True,1,True,False,46000,46
76,Departamento,2,1,31.388900278,-115.757641111,True,True,1,False,True,20327,67
77,Departamento,3,1,31.9009,-116.691,True,True,0,True,True,26000,44
78,Departamento,3,1,31.812480631952,-116.58971665428,False,False,0,True,False,16500,61
79,Casa,4,2,31.90683992615,-116.727703038409,False,False,1,True,True,55436,83
80,Casa,3,1,31.904079202627,-116.574236316953,False,False,1,True,True,20000,73
81,Departamento,3,2,31.8893018,-116.6851939,False,True,1,True,True,18000,74
82,Casa,2,1,31.88380034,-116.60139049,True,False,0,True,False,11000,20
83,Casa,2,1,31.8622,-116.601,False,False,0,True,True,12000,62
84,Casa,2,1,31.9166,-116.588,True,False,0,True,True,7500,76
85,Casa,3,2,31.873405425081,-116.625732947412,False,False,1,True,False,30000,37
86,Casa,2,1,31.815329,-116.5883546,False,True,1,True,True,9500,57
87,Casa,2,1,32.0683582,-116.6563926,False,False,1,True,False,18479,85
88,Casa,1,1,32.07601588,-116.62624858,True,False,1,True,False,6000,84
89,Casa,3,2,31.79621336,-116.58470489,True,True,1,True,True,10700,59
90,Departamento,2,1,31.811455483625,-116.605203778536,True,True,1,True,True,18500,9
91,Casa,2,1,31.815329,-116.5883546,False,False,1,True,True,15500,18
92,Departamento,2,1,31.815329,-116.5883546,True,True,1,True,True,14500,14
93,Casa,1,1,31.846968439853,-116.592912555885,False,True,1,True,True,12500,66
94,Casa,3,1,31.86390261375,-116.638056087168,True,True,1,True,True,20000,48
95,Casa,1,1,32.0996444,-116.5596254,True,False,1,True,True,3000,60
96,Departamento,1,1,31.9109,-116.599,False,True,1,True,True,11000,62
97,Departamento,2,1,31.9109,-116.599,False,False,0,True,True,14000,34
98,Casa,1,1,32.0996444,-116.5596254,True,True,1,True,False,1200,6
99,Departamento,1,1,32.0996444,-116.5596254,True,True,0,True,False,1600,17
100,Departamento,3,2,32.09484525,-116.859568,False,True,0,True,True,34186,84
101,Casa,3,1,31.892145,-116.694361,True,False,1,False,True,26500,65
102,Casa,3,1,31.8938,-116.693,True,False,1,True,True,51740,39
103,Casa,3,1,31.88907072,-116.6014608,True,False,1,True,True,11000,52
104,Casa,2,1,31.869004,-116.65879,True,False,0,True,False,26000,35
105,Casa,2,1,31.886873,-116.6066911,False,True,0,True,True,10000,49
106,Departamento,1,1,31.9900954,-116.6381889,False,False,0,True,True,24022,50
